apt,sector,techniques
Bronze Bulter <SecureWorks>:Tick <Symantec>:RedBaldNight <Trend Micro>,"Critical infrastructure, Defense, Government, Industry, International
relations, Manufacturing, Technology","Daserf, Datper, gsecdump, Mimikatz, Minzen, Muirim, Nioupale, rarstar, Windows
Credential Editor, xxmm"
Buhtrap <Group-IB>,Financial,"AmmyyRAT, Buhtrap, Niteris EK, NSIS, Ratopak"
Cadelle <Symantec>,Various countries ,ANTAK and Cadelspy
Callisto Group <F-Secure>,"Defense, Government, Think Tanks, journalists",RCS Callisto
Carbanak <Kaspersky>:Anunak <Group-IB>:Carbon Spider <CrowdStrike>,Financial,"Agent ORM, AmmyyRAT, ANTAK, Ave Maria, BABYMETAL, Backdoor Batel,
Bateleur, BELLHOP, MBR Eraser, Cain & Abel, Carbanak, Cobalt Strike,
DNSMessenger, DNSRat, DRIFTPIN, Griffon, HALFBAKED, JS Flash, KLRD,
Mimikatz, MBR Eraser, Netscan, Odinaff, POWERPIPE, POWERSOURCE,
PSExec, Sekur, SocksBot, SoftPerfect Network Scanner, SQLRat, Team Viewer,
TinyMet, VB Flash"
Careto <Kaspersky>:The Mask <Kaspersky>:Mask <Kaspersky>:Ugly Face <Kaspersky>,"Diplomatic missions, Education, Energy, Government",Careto
Chafer <Symantec>:APT 39 <Mandiant>,"Airlines, Airports, Engineering, Government, High-Tech, IT, Shipping and
Logistics, Telecommunications, Transportation","ASPXSpy, CACHEMONEY, EternalBlue, HTTPTunnel, MechaFlounder Mimikatz,
NBTScan, Non-sucking Service Manager <NSSM>, Plink, POWBAT, Pwdump,
Remcom, Remexi, SEAWEED, SMB hacking tools, UltraVNC, Windows Credential Editor"
Charming Kitten <CrowdStrike>:Newscaster <Symantec>:NewsBeef <Kaspersky>:Group 83 <Talos>:Parastoo <Flashpoint>,"Defense, Government","DownPaper, FireMalv, MacDownloader , Stealer Builder"
Clever Kitten <CrowdStrike>:Group 41 <Talos>,Companies <Contrary to Iranian interests>,"Acunetix Web Vulnerability Scanner, PHP Webshell RC SHELL"
Cobalt Group <Group-IB>:Cobalt Gang <Palo Alto>:Cobalt Spider <CrowdStrike>:Gold Kingswood <SecureWorks>,Financial,"AmmyyRAT, ATMSpitter, ATMRipper Cobalt Strike, CobInt, Cyst Downloader,
Mimikatz, Metasploit Stager, More_eggs, SDelete, SoftPerfect Network Scanner, SpicyOmelette"
Cold River <Lastline>:Nahr el bared <original place>:Nahr Elbard <transliteration>,Middle east orgs,Agent_drable
Comment Crew <Symantec>:Comment Panda <CrowdStrike>:TG-8223 <SecureWorks>:APT 1 <Mandiant>:BrownFox <Symantec>:Group 3 <Talos>:Byzantine Hades <US State Department>:Byzantine Candor <US State Department>:Shanghai Group <SecureWorks>:GIF89a <Kaspersky>,"Aerospace, Chemical, Construction, Education, Energy, Engineering,
Entertainment, Financial, Food and Agriculture, Government, Healthcare, High-
Tech, IT, Manufacturing, Media, Mining, Navigation, Non-profit organizations,
Research, Satellites, Telecommunications, Transportation, lawyers","Auriga, bangat, BISCUIT, Bouncer, Cachedump, CALENDAR, Combos,
CookieBag, Dairy, GetMail, GLOOXMAIL, Goggles, gsecdump, Hacksfase,
Helauto, Kurton, Lslsass, ManItsMe, MAPIget, Mimikatz, MiniASP, NewsReels,
Pass-The-Hash Toolkit, Poison Ivy, pwdump, SeaSalt, ShadyRAT, StarsyPound,
Sword, TabMsgSQL, Tarsip, Tasklist, WebC2-AdSpace, WebC2-Ausov, WebC2-
Bolid, WebC2-Cson, WebC2-DIV, WebC2-GreenCat, WebC2-Head, WebC2-Kt3,
WebC2-Qbp, WebC2-Rave, WebC2-Table, WebC2-UGX, WebC2-Yahoo"
Confucius <Palo Alto>,Country level,"ApacheStealer, ByeBye Shell, Confucius, MY24, sctrls, remote-access-c3 and
sip_telephone, swissknife2 , Sneepy"
CopyKittens <Trend Micro>:Slayer Kitten <CrowdStrike>,"Defense, Education, Government, IT, Media","Cobalt Strike, Empire, Matryoshka, TDTESS, Vminst, ZPP"
Corkow <Group-IB>:Metel <Kaspersky>,Financial,"Corkow, Metel"
Covellite <Dragos>,Energy,Lazarus toolkits
Cutting Kitten <CrowdStrike>:TG-2889 <SecureWorks>,"Aerospace, Airlines, Airports, Chemical, Defense, Education, Energy,
Financial <banks: Bank of America, US Bancorp, Fifth Third Bank, Citigroup, PNC,
BB&T, Wells Fargo, Capital One and HSBC>, Government, Healthcare, Oil and gas,
Technology, Telecommunications, Transportation,Utilities","CsExt, Jasus, KAgent, Net Crawler, PvcOut, SynFlooder, TinyZBot, WndTest, ZhMimikatz"
Dark Caracal <Lookout>,"Defense, Education, Financial, Government, Healthcare, Manufacturing,
Utilities, activists, lawyers, journalists","Bandook, CrossRAT, FinFisher, Pallas"
DarkHotel <Kaspersky>:APT-C-06 <360>:SIG25 <NSA>:Dubnium <Microsoft>:Fallout Team <FireEye>:Shadow Crane <CrowdStrike>,"Defense, Energy, Government, Healthcare, NGOs, Pharmaceutical,
Research, Technology","DarkHotel, GreezeBackdoor, Luder, Nemim, Pioneer, Tapaoux"
DarkHydrus <Palo Alto>:LazyMeerkat <Kaspersky>,"Education, Government","Cobalt Strike, Mimikatz, Phishery, RogueRobin"
Deep Panda <CrowdStrike>:APT 26 <Mandiant>:Shell Crew <RSA>:WebMasters <Kaspersky>:KungFu Kittens <FireEye>:Group 13 <Talos>:PinkPanther <RSA>:Black Vine <Symantec>,"Defense, Financial, Government, Non-profit organizations,
Telecommunications, Think Tanks","Cobalt Strike, Derusbi, JerseyMikes, Mivast, PlugX, Sakula, StreamEx, Tasklist"
Desert Falcons <Kaspersky>:APT-C-23 <360>:Two-tailed Scorpion <360>,"Defense, Education, Government, Infrastructure","FrozenCell, GlanceLove, GnatSpy, KASPERAGENT, MICROPSIA, VAMP, ViperRAT"
DNSpionage <Talos>,"Airlines, Government, Law Enforcement, Telecommunications, Internet infrastructure","DNSpionage, Karkoff"
Domestic Kitten <Check Point>,Country level,Mobile RATS
Donot Team <ASERT>:PT-C-35 <360>,Government,"EHDevel, yty"
DragonOK <FireEye>,"High-Tech, Manufacturing","FormerFirstRAT, HelloBridge, HTRAN, IsSpace, KHRAT, NewCT, NFlog, PlugX,
Poison Ivy, Rambo, Sysget, TidePool"
DustSquad <Kaspersky>,Government,Octopus
Dust Storm <Cylance>,"Energy, Oil and gas","Gh0st RAT, Misdat, MiS-Type, Poison Ivy, S-Type"
Elderwood <Symantec>:Elderwood Gang <Symantec>:Sneaky Panda <CrowdStrike>:SIG22 <NSA>:Beijing Group <SecureWorks>,"Defense, Education, Energy, Financial, Government","Briba, Gh0st RAT, Hydraq, Linfo, Naid, Nerex, Pasam, Poison Ivy, Vasport, Wiarp"
El Machete <Kaspersky>,"Defense, Embassies, Government, Telecommunications",Machete
Energetic Bear <CrowdStrike>:Dragonfly <Symantec>:Crouching Yeti <Kaspersky>:Group 24 <Talos>:Koala Team <iSight>:Iron Liberty <SecureWorks>:Electrum <Dragos>,"Construction, Education, Energy, Industrial, IT, Manufacturing, Oil and gas, Pharmaceutical","Commix, CrashOverride, Dirsearch, Dorshel, Havex RAT, Hello, Heriplor, Impacket,
Industroyer, Inveigh, Karagany, Lightsout, Listrix, nmap, Oldrea, PHPMailer,
PSExec, SMBTrap, Sqlmap, Subbrute, Sublist3r, Sysmain, Wpscan, Commix, CrashOverride, Dirsearch, Dorshel, Havex RAT, Hello, Heriplor, Impacket,
Industroyer, Inveigh, Karagany, Lightsout, Listrix, nmap, Oldrea, PHPMailer,
PSExec, SMBTrap, Sqlmap, Subbrute, Sublist3r, Sysmain, Wpscan, WSO"
Equation Group <real name>:Tilded Team <CrySys>,"Aerospace, Defense, Energy, Government, Media, Nanotechnology,
Nuclear research, Oil and gas, Telecommunications, Transportation, Islamic
activists, scholars, cryptographic technologies","DarkPulsar, DOUBLEFANTASY, DoublePulsar, EQUATIONDRUG,
EQUATIONLASER, EQUESTRE, FANNY, GROK, Lambert, Plexor, Regin,
TRIPLEFANTASY, many others"
Emissary Panda <CrowdStrike>:APT 27 <Mandiant>:LuckyMouse <Kaspersky>:Bronze Union <Secureworks>:TG-3390 <SecureWorks>:EMP.Hippo <Symantec>:Group 35 <Talos>,"Defense, Education, Embassies, Government, Technology,
Telecommunications, Think Tanks","Antak, ASPXSpy, China Chopper, Gh0st RAT, gsecdump, HTTPBrowser, Hunter,
HyperBro, Mimikatz, Nishang, OwaAuth, PlugX, PSExec, Upatre, Windows
Credential Editor, ZipToken"
FIN4 <FireEye>:Wolf Spider <CrowdStrike>,"Financial, Healthcare, Pharmaceutical",Various
FIN5 <FireEye>,"Gaming, Hospitality","FLIPSIDE, pwdump, RawPOS, Sdelete, Windows Credential Editor"
FIN6 <FireEye>:Skeleton Spider <CrowdStrike>,"Hospitality, Retail","AbaddonPOS, Cobalt Strike, FrameworkPOS, GRABNEW, Grateful POS,
LockerGoga, Ryuk, Windows Credential Editor, WMI"
FIN7 <FireEye>,"Casinos and Gaming, Construction, Education, Energy, Financial,
Government, High-Tech, Hospitality, Retail, Technology, Telecommunications,
Transportation, Travel","Astra, Bateleur, Carbanak, Cobalt Strike, Griffon, HALFBAKED, POWERSOURCE,
SQLRAT, TEXTMATE"
FIN8 <FireEye>,"Hospitality, Retail","PunchBuggy, PunchTrack, ShellTea"
FIN10 <FireEye>,"Casinos, Mining","Empire, SplinterRAT"
Flying Kitten <CrowdStrike>:Ajax Security Team <FireEye>:Group 26 <Talos>,"Defense, dissidents","Sayyad, Stealer."
Gallmaker <Symantec>,"Defense, Embassies, Government",Custom malware
Gamaredon Group <Palo Alto>,"Defense, Government, Law enforcement","FRAUDROP, Gamaredon, Pteranodon, Resetter"
GCMAN <Kaspersky>,Financial,"Malicious RAR archives, Putty, VNC, Meterpreter"
GhostNet <Information Warfare Monitor>:Snooping Dragon <UCAM>,"Embassies, Government, Media, NGOs","Gh0st RAT, Skype"
Goblin Panda <CrowdStrike>:Cycldek <Kaspersky>,"Defense, Energy, Government","HttpTunnel, NewCore, PlugX, QCRat, Sisfader, ZeGhost"
Goldmouse <360>:APT-C-27 <360>,Country level,"GoldenRAT, njRAT, WinRAR exploit"
Gorgon Group <Palo Alto>:Subaat <Palo Alto>,Government,"Crimson, LokiBot, NanoCore RAT, njRAT, QuasarRAT, Remcos, Revenge RAT"
GozNym <IBM>,Financial,"GozNym, Nymaim, Gozi ISFB"
Group5 <Citizen Lab>,Country level,"DroidJack, NanoCore RAT, njRAT"
Hidden Lynx <Symantec>:Aurora Panda <CrowdStrike>:Group 8 <Talos>,"Construction, Defense, Education, Financial, Food and Agriculture,
Engineering, Healthcare, IT, Government, Media, Non-profit organizations,
Pharmaceuticals, Retail, lawyers","HiKit, Moudoor, Naid"
Honeybee <McAfee>,Humanitarian aid,"SYSCON, Systeminfo, Tasklist"
Hurricane Panda <CrowdStrike>:Zirconium <Confiant>:APT 31 <Mandiant>:TEMP.Avengers <Symantec>,"Technology, Telecommunications","9002 RAT, China Chopper, Gh0st RAT, HiKit, Mimikatz, PlugX, Sakula RAT, Trochilus RAT"
Icefog <Kaspersky>:Dagger Panda <CrowdStrike>,"Defense, Government, High-Tech, Maritime and Shipbuilding, Media,
Telecommunications, Water","Dagger Three, Fucobha, Icefog, Javafog"
Inception Framework <Symantec>,"Defense, Embassies, Engineering, Financial, Government, Oil and gas","Inception, Lastacloud"
Infy <Palo Alto>:Prince of Persia <Palo Alto>:Operation Mermaid <360>,"Government, private sectors","Foudre, Infy"
Iridium <Resecurity>,"Government, Oil and gas, Technology","China Chopper, Ckife Webshells, LazyCat, reGeorge"
Ke3chang <FireEye>:Vixen Panda <CrowdStrike>:APT 15 <Mandiant>:GREF <SecureWorks>:Playful Dragon <FireEye>:Royal APT <NCC Group>,"Aerospace, Airlines, Chemicals, Defense, Embassies, Energy,
Government, High-Tech, Industry, Manufacturing, Mining, Oil and gas, Utilities","Cobalt Strike, Metushy, Mimikatz, MirageFox, MS Exchange Tool, Royal DNS,
RoyalCli, spwebmember, Systeminfo, Tasklist, TidePool, Winnti"
Kimsuky <Kaspersky>:Velvet Chollima <CrowdStrike>,"Government, Defense","Grease, KPortScan, MailPassView, Mechanical, Mimikatz, Network Password
Recovery, Procdump, PSExec, Remote Desktop PassView, SniffPass, WebBrowserPassView"
Lazarus Group <Kaspersky>:Labyrinth Chollima <CrowdStrike>:Group 77 <Talos>:Hastati Group <SecureWorks>:Whois Hacking Team <McAfee>:NewRomanic Cyber Army Team <McAfee>:Zinc <Microsoft>:Hidden Cobra <Trend Micro>:Nickel Academy <SecureWorks>:APT-C-26 <360>,"Engineering, Financial, Government, Technology, BitCoin exchanges","AuditCred, AlphaNC, Alreay, AppleJeus, Appleworm, BADCALL, Bankshot,
BanSwift, Bitsran, Brambul, BravoNC, Castov, Contopee, DeltaNC, Destover,
Dozer, DoublePulsar, Duuzer, ELECTRICFISH, EternalBlue, FallChill RAT,
FASTCash, Fimlis, Gh0st RAT, HARDRAIN, Hawup, Hermes, HOPLIGHT,
HtDnDownLoader, Joanap, Jokra, KEYMARBLE, KillDisk, Koredos, Lazarus,
Manuscrypt, Mimikatz, Mydoom, Mytob, NukeSped, PhanDoor, PowerRatankba,
PowerSpritz, Proxysvc, RatabankaPOS, RawDisk, Rifdoor, Rising Sun, RomeoNC,
SHARPKNOT, SheepRAT, SierraNC, Tdrop, Tdrop2, Troy, TYPEFRAME, Volgmer,
WannaCry, WolfRAT, Yort"
Lead <Microsoft>,"Online videogame companies, Pharmaceutical, Technology, Telecommunications","Cobalt Strike, Winnti"
Leafminer <Symantec>:Raspite <Dragos>,"Energy, Financial, Government, Transportation","Imecab, LaZagne, PhpSpy, Mimikatz"
Leviathan <CrowdStrike>:APT 40 <Mandiant>:TEMP.Periscope <FireEye>:TEMP.Jumper <FireEye>:Bronze Mohawk <SecureWorks>:Mudcarp <iDefense>,"Maritime-related targets across multiple verticals, including Defense,
Engineering, Government, Manufacturing, Research, Shipping, Transportation","AIRBREAK, BADFLICK, Beacon, BITSAdmin, BLACKCOFFEE, China Chopper,
Cobalt Strike, Derusbi, Gh0st RAT, GRILLMARK, HOMEFRY, LUNCHMONEY,
MURKYTOP, NanHaiShu, Orz, PHOTO, PlugX, scanbox, SeDLL, Windows
Credential Editor, ZXShell"
Longhorn <Symantec>:The Lamberts <Kaspersky>,"Aerospace, Education, Energy, Financial, Government, IT, Telecommunications","Black Lambert, Blue Lambert, Corentry, Gray Lambert, Green Lambert, Green OS
X Lambert, LH1, LH2, Pink Lambert, Plexor, White Lambert"
Lotus Blossom <Palo Alto>:Spring Dragon <Kaspersky>:Dragonfish <iDefense>,"Defense, Education, Government, Telecommunications","Elise, Emissary"
Lucky Cat <Symantec>,"Aerospace, Defense, Engineering, Shipping, Tibetan activists.","Sojax, Wimmie"
Lurk <Kaspersky>,Financial and Media,Lurk
Mabna Institute <real name>:Silent Librarian <SecureWorks>,Universities,Spear phishing
Madi <Kaspersky>:Mahdi <Kaspersky>,"Education, Engineering, Financial, Government, Oil and gas, Think Tanks",Madi
Covellite:Magic Hound <Palo Alto>:APT 35 <Mandiant>:Cobalt Gypsy <SecureWorks>:Rocket Kitten <CrowdStrike>:TEMP.Beanie <FireEye>:Timberworm <Symantec>:Tarh Andishan <Cylance>,"Energy, Government, Technology","CWoolger, DistTrack, FileMalv, Ghambar, Ghole, Havij, Leash, Matryoshka RAT,
Mimikatz, MPKBot, NETWoolger, PupyRAT, sqlmap, TDTESS, Woolger"
Moafee <FireEye>,"Defense, Government","HTRAN, Mongall, NewCT2, Nflog, Poison Ivy"
Mofang <Fox-IT>,"Automotive, Critical infrastructure, Defense, Government, weapon industries","ShimRAT, ShimRatReporter, Superman"
Molerats <FireEye>:Extreme Jackal <CrowdStrike>:Gaza Cybergang <Kaspersky>:Gaza Hackers Team <Kaspersky>,"Aerospace, Defense, Embassies, Financial, Government, Oil and gas,
journalists, software developers","DustySky, Molerat Loader, NeD Worm, njRAT, Poison Ivy, Scote, XtremeRAT"
MoneyTaker <Group-IB>,Financial,"Citadel, Kronos, Metasploit, MoneyTaker, Screenshotter"
MuddyWater <Palo Alto>:Seedworm <Symantec>:TEMP.Zagros <FireEye>:Static Kitten <CrowdStrike>,"Defense, Education, Food, Gaming, Government, IT, Media, NGOs, Oil
and gas, Telecommunications, Transportation","ChromeCookiesView, chrome-passwords, CLOUDSTATS, CrackMapExec,
DELPHSTATS, EmpireProject, FruityC2, Koadic, LaZagne, Meterpreter, Mimikatz.
MZCookiesView, PowerSploit, POWERSTATS, SHARPSTATS, Shoorback, Smbmap"
Mustang Panda <CrowdStrike>,"Think tank, NGOs","PlugX, Poison Ivy"
Naikon <Kaspersky>:Hellsing <Kaspersky>:Lotus Panda <CrowdStrike>,"Defense, Energy, Government, Law Enforcement, Media","Hdoor, Naikon, JadeRAT, NewCore RAT, PlugX, RARSTONE, Sisfader, SslMM,
Sys10, Systeminfo, Tasklist, TeamViewer, WinMM, xsPlus"
Neodymium <Microsoft>,Country level,Wingbird
NetTraveler <Kaspersky>:APT 21 <Mandiant>,"Defense, Embassies, Government, Oil and gas, Scientific research centers
and institutes, activists","NetTraveler/TravNet, PlugX"
Night Dragon <McAfee>,"Energy, Oil and gas, Petrochemical","ASPXSpy, Cain & Abel, gsecdump, zwShell."
Nightshade Panda <CrowdStrike>:APT 9 <Mandiant>:Group 27 <ASERT>,"Energy, Government","9002 RAT, EvilGrab, MoonWind RAT, PlugX, Trochilus RAT"
Nitro <Symantec>:Covert Grove <Symantec>,"Chemical, Human Rights NGOs, Motor industry, Technology","Farfli, PCClient, Poison Ivy, Spindest"
OilRig <Palo Alto>:APT 34 <FireEye>:Helix Kitten <CrowdStrike>:Twisted Kitten <CrowdStrike>:Crambus <Symantec>:Chrysene <Dragos>,"Chemical, Energy, Financial, Government, Telecommunications","Alma Communicator, BONDUPDATER, certutil, DistTrack, Fox Panel, Glimpse,
GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor,
ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER,
QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill,
Systeminfo, Tasklist, TwoFace, Webmask"
Operation BugDrop <CyberX>,"Engineering, Oil and gas, Media, Research",Dropbox
Operation Ghoul <Kaspersky>,"Education, Engineering, Industrial, Manufacturing, IT, Pharmaceutical,
Shipping and Logistics, Tourism, Trading",ShopBot
Operation Groundbait <ESET>,"Government, politicians, journalists",Prikormka
Operation Parliament <Kaspersky>,"Defense, Education, Energy, Financial, Government, Healthcare, Media,
Research, Shipping and Logistics, Sports, Telecommunications",Remote CMD/PowerShell terminal
Operation Potao Express <ESET>,Country level,"FakeTC, Patao"
Orangeworm <Symantec>,"Healthcare, as well as related industries as part of a larger supply-chain
attack such as Healthcare providers, Manufacturing, IT, Pharmaceuticals","Kwampirs, Systeminfo"
PassCV <Blue Coat Systems>,Online videogame companies,"Cobalt Strike, Gh0st RAT, Kitkiot, Netwire, Sabresac, Winnti, ZXShell"
Patchwork <Cymmetria>:Dropping Elephant <Kaspersky>:Chinastrats <Kaspersky>:APT-C-09 <360>:Monsoon <Forcepoint>:Quilted Tiger <CrowdStrike>,"Aviation, Defense, Energy, Financial, Government, IT, Media, NGOs,
Pharmaceutical, Think Tanks","AndroRAT, AutoIt backdoor, BADNEWS, Bahamut, MazeRunner, NdiskMonitor,
PowerSploit, QuasarRAT, Sarit, Socksbot, Steladoc, TINYTYPHON WSCSPL, Unknown Logger"
Pirate Panda <CrowdStrike>:APT 23 <Mandiant>:KeyBoy <Rapid7>,Country level,CREDRIVER
PittyTiger <FireEye>:Pitty Panda <CrowdStrike>:Manganese <Microsoft>,"Government, Telecommunications, Web development","Gh0st RAT, gsecdump, Lurid, Mimikatz, Paladin, pgift, Pitty, Poison Ivy"
Platinum <Microsoft>:TwoForOne <Kaspersky>,"Defense, Government, Intelligence agencies, Telecommunications","adbupd, AMTsol, Dipsind, JPIN"
Poseidon Group <Kaspersky>,"Energy, Financial, Government, Media, Manufacturing,Telecommunications, Utilities",IGT supertool.
Promethium <Microsoft>:StrongPity <Kaspersky>,Country level,Truvasys
Putter Panda <CrowdStrike>:TG-6952 <SecureWorks>:APT 2 <Mandiant>:Group 36 <Talos>:Sulphur <Microsoft>,"Defense, Government, Research, Technology <Communications,Space, Aerospace>.","3PARA RAT, 4H RAT, httpclient, MSUpdater, pngdowner, SearchFire"
Rancor <Palo Alto>:Rancor Group <Palo Alto>,"Government, political entities","certutil, DDKONG, PLAINTEE"
Reaper <FireEye>:APT 37 <Mandiant>:Ricochet Chollima <CrowdStrike>:Group 123 <Talos>:Red Eyes <AhnLab>:Venus 121 <ESRC>,"Aerospace, Automotive, Chemical, Financial, Government, Healthcare,Manufacturing, Technology","CORALDECK, DOGCALL, Final1stSpy, Freenki Loader, HAPPYWORK, KARAE,KevDroid, N1stAgent, NavRAT, Nokki, PoohMilk Loader, POORAIM, ROKRAT, SHUTTERSPEED, SLOWDRIFT, WINERACK, Flash 0day, MS Office exploits"
Roaming Tiger <ESET>,Country level,"BBSRAT, Gh0st RAT, PlugX"
RTM <ESET>,"Financial, Accountants",RTM
Sandworm Team <Trend Micro>:Iron Viking <SecureWorks>:Voodoo Bear <CrowdStrike>:Quedagh <F-Secure>:TEMP.Noble <FireEye>,"Education, Energy, Government, Telecommunications","BlackEnergy, Gcat and PassKillDisk"
Samurai Panda <CrowdStrike>:APT 4 <Mandiant>:APT 4 <FireEye>:Wisp Team <Symantec>,"Defense, Government","Getkys, Sykipot, Wkysol"
ScarCruft <Kaspersky>,Country level,"ROKRAT, Flashl 0day"
Scarlet Mimic <Palo Alto>,Activists,"CallMe, FakeM, MobileOrder, Psylo"
